produto,unidade,semana_fim,ppi,realizacao,defasagem_abs,defasagem_pct
Gasolina A,R$/litro,2018-11-09,1.624090,2.627640,1.003550,61.7916
Gasolina A,R$/litro,2018-11-16,1.545575,2.535820,0.990245,64.0697
Gasolina A,R$/litro,2018-11-23,1.505295,2.488550,0.983255,65.3197
Gasolina A,R$/litro,2018-11-30,1.426098,2.420680,0.994582,69.7415
Gasolina A,R$/litro,2018-12-07,1.439340,2.432670,0.993330,69.0129
Gasolina A,R$/litro,2018-12-14,1.452740,2.502620,1.049880,72.2690
Gasolina A,R$/litro,2018-12-21,1.377436,2.527780,1.150344,83.5134
Gasolina A,R$/litro,2018-12-28,1.300028,2.461770,1.161742,89.3629
Gasolina A,R$/litro,2019-01-04,1.283257,2.389260,1.106003,86.1871
Gasolina A,R$/litro,2019-01-11,1.311666,2.338640,1.026974,78.2954
Gasolina A,R$/litro,2019-01-18,1.364220,2.390490,1.026270,75.2276
Gasolina A,R$/litro,2019-01-25,1.392894,2.420490,1.027596,73.7742
Gasolina A,R$/litro,2019-02-01,1.320356,2.403320,1.082964,82.0207
Gasolina A,R$/litro,2019-02-08,1.370040,2.405070,1.035030,75.5475
Gasolina A,R$/litro,2019-02-15,1.413086,2.434270,1.021184,72.2663
Gasolina A,R$/litro,2019-02-22,1.562077,2.522780,0.960703,61.5016
Gasolina A,R$/litro,2019-03-01,1.557252,2.564950,1.007698,64.7101
Gasolina A,R$/litro,2019-03-08,1.628170,2.606420,0.978250,60.0828
Gasolina A,R$/litro,2019-03-15,1.677595,2.677860,1.000265,59.6250
Gasolina A,R$/litro,2019-03-22,1.713254,2.722250,1.008996,58.8935
Gasolina A,R$/litro,2019-03-29,1.756601,2.731720,0.975119,55.5117
Gasolina A,R$/litro,2019-04-05,1.767962,2.768700,1.000738,56.6041
Gasolina A,R$/litro,2019-04-12,1.848153,2.828700,0.980547,53.0555
Gasolina A,R$/litro,2019-04-19,1.883731,2.837540,0.953809,50.6341
Gasolina A,R$/litro,2019-04-26,1.970784,2.865170,0.894386,45.3822
Gasolina A,R$/litro,2019-05-03,1.964447,2.947800,0.983353,50.0575
Gasolina A,R$/litro,2019-05-10,1.922867,2.939930,1.017063,52.8930
Gasolina A,R$/litro,2019-05-17,1.944445,2.940940,0.996495,51.2483
Gasolina A,R$/litro,2019-05-24,2.013124,2.922410,0.909286,45.1679
Gasolina A,R$/litro,2019-05-31,1.873873,2.821920,0.948047,50.5929
Gasolina A,R$/litro,2019-06-07,1.658064,2.725830,1.067766,64.3983
Gasolina A,R$/litro,2019-06-14,1.641744,2.680090,1.038346,63.2466
Gasolina A,R$/litro,2019-06-21,1.650240,2.675400,1.025160,62.1219
Gasolina A,R$/litro,2019-06-28,1.721480,2.660660,0.939180,54.5565
Gasolina A,R$/litro,2019-07-05,1.743420,2.675060,0.931640,53.4375
Gasolina A,R$/litro,2019-07-12,1.756060,2.617100,0.861040,49.0325
Gasolina A,R$/litro,2019-07-19,1.733560,2.578920,0.845360,48.7644
Gasolina A,R$/litro,2019-07-26,1.719820,2.545480,0.825660,48.0085
Gasolina A,R$/litro,2019-08-02,1.769820,2.589130,0.819310,46.2934
Gasolina A,R$/litro,2019-08-09,1.701200,2.627810,0.926610,54.4680
Gasolina A,R$/litro,2019-08-16,1.701860,2.582090,0.880230,51.7216
Gasolina A,R$/litro,2019-08-23,1.661300,2.529960,0.868660,52.2880
Gasolina A,R$/litro,2019-08-30,1.577480,2.548780,0.971300,61.5729
Gasolina A,R$/litro,2019-09-06,1.616500,2.596640,0.980140,60.6334
Gasolina A,R$/litro,2019-09-13,1.645599,2.606690,0.961091,58.4037
Gasolina A,R$/litro,2019-09-20,1.743031,2.622790,0.879759,50.4729
Gasolina A,R$/litro,2019-09-27,1.748665,2.680090,0.931425,53.2649
Gasolina A,R$/litro,2019-10-04,1.669197,2.716890,1.047693,62.7663
Gasolina A,R$/litro,2019-10-11,1.690940,2.707500,1.016560,60.1181
Gasolina A,R$/litro,2019-10-18,1.781029,2.702910,0.921881,51.7611
Gasolina A,R$/litro,2019-10-25,1.758412,2.690510,0.932098,53.0080
Gasolina A,R$/litro,2019-11-01,1.761988,2.692850,0.930862,52.8303
Gasolina A,R$/litro,2019-11-08,1.802723,2.700170,0.897447,49.7829
Gasolina A,R$/litro,2019-11-15,1.836799,2.689710,0.852911,46.4347
Gasolina A,R$/litro,2019-11-22,1.871806,2.726120,0.854313,45.6411
Gasolina A,R$/litro,2019-11-29,1.941077,2.815040,0.873963,45.0247
Gasolina A,R$/litro,2019-12-06,1.842549,2.824690,0.982141,53.3034
Gasolina A,R$/litro,2019-12-13,1.868429,2.827850,0.959421,51.3491
Gasolina A,R$/litro,2019-12-20,1.890109,2.815850,0.925741,48.9782
Gasolina A,R$/litro,2019-12-27,1.928781,2.823360,0.894579,46.3806
Gasolina A,R$/litro,2020-01-03,1.894589,2.833830,0.939241,49.5749
Gasolina A,R$/litro,2020-01-10,1.859940,2.829730,0.969790,52.1409
