semana_inicio,semana_fim,terminal,preco
2018-11-05,2018-11-09,Itaqui,2.249686
2018-11-05,2018-11-09,Suape,2.250400
2018-11-05,2018-11-09,Aratu,2.264426
2018-11-05,2018-11-09,Santos,2.299988
2018-11-05,2018-11-09,Paranagua,2.281410
2018-11-12,2018-11-16,Itaqui,2.159192
2018-11-12,2018-11-16,Suape,2.160458
2018-11-12,2018-11-16,Aratu,2.174492
2018-11-12,2018-11-16,Santos,2.210074
2018-11-12,2018-11-16,Paranagua,2.191472
2018-11-17,2018-11-21,Itaqui,2.103863
2018-11-17,2018-11-21,Suape,2.102917
2018-11-17,2018-11-21,Aratu,2.119167
2018-11-17,2018-11-21,Santos,2.158400
2018-11-17,2018-11-21,Paranagua,2.140837
2018-11-26,2018-11-30,Itaqui,1.990058
2018-11-26,2018-11-30,Suape,1.988348
2018-11-26,2018-11-30,Aratu,2.005388
2018-11-26,2018-11-30,Santos,2.045942
2018-11-26,2018-11-30,Paranagua,2.028652
2018-12-03,2018-12-07,Itaqui,1.993900
2018-12-03,2018-12-07,Suape,1.988500
2018-12-03,2018-12-07,Aratu,2.009200
2018-12-03,2018-12-07,Santos,2.055900
2018-12-03,2018-12-07,Paranagua,2.040400
2018-12-10,2018-12-14,Itaqui,1.981700
2018-12-10,2018-12-14,Suape,1.975900
2018-12-10,2018-12-14,Aratu,1.997000
2018-12-10,2018-12-14,Santos,2.044300
2018-12-10,2018-12-14,Paranagua,2.028900
2018-12-17,2018-12-21,Itaqui,1.874776
2018-12-17,2018-12-21,Suape,1.873470
2018-12-17,2018-12-21,Aratu,1.890108
2018-12-17,2018-12-21,Santos,1.929994
2018-12-17,2018-12-21,Paranagua,1.912502
2018-12-24,2018-12-28,Itaqui,1.746813
2018-12-24,2018-12-28,Suape,1.769660
2018-12-24,2018-12-28,Aratu,1.777288
2018-12-24,2018-12-28,Santos,1.797946
2018-12-24,2018-12-28,Paranagua,1.778232
2018-12-31,2019-01-04,Itaqui,1.719510
2018-12-31,2019-01-04,Suape,1.721637
2018-12-31,2019-01-04,Aratu,1.734710
2018-12-31,2019-01-04,Santos,1.770437
2018-12-31,2019-01-04,Paranagua,1.752157
2019-01-07,2019-01-11,Itaqui,1.811598
2019-01-07,2019-01-11,Suape,1.814008
2019-01-07,2019-01-11,Aratu,1.826780
2019-01-07,2019-01-11,Santos,1.860204
2019-01-07,2019-01-11,Paranagua,1.841488
2019-01-14,2019-01-18,Itaqui,1.883856
2019-01-14,2019-01-18,Suape,1.887634
2019-01-14,2019-01-18,Aratu,1.899030
2019-01-14,2019-01-18,Santos,1.930178
2019-01-14,2019-01-18,Paranagua,1.910842
2019-01-21,2019-01-25,Itaqui,1.935590
2019-01-21,2019-01-25,Suape,1.939797
2019-01-21,2019-01-25,Aratu,1.950767
2019-01-21,2019-01-25,Santos,1.981210
2019-01-21,2019-01-25,Paranagua,1.961673
2019-01-28,2019-02-01,Itaqui,1.891414
2019-01-28,2019-02-01,Suape,1.895774
2019-01-28,2019-02-01,Aratu,1.906568
2019-01-28,2019-02-01,Santos,1.936704
2019-01-28,2019-02-01,Paranagua,1.917180
2019-02-04,2019-02-08,Itaqui,1.892024
2019-02-04,2019-02-08,Suape,1.897364
2019-02-04,2019-02-08,Aratu,1.907164
2019-02-04,2019-02-08,Santos,1.935652
2019-02-04,2019-02-08,Paranagua,1.915712
2019-02-11,2019-02-15,Itaqui,1.954706
2019-02-11,2019-02-15,Suape,1.956934
2019-02-11,2019-02-15,Aratu,1.969888
2019-02-11,2019-02-15,Santos,2.003598
2019-02-11,2019-02-15,Paranagua,1.984972
2019-02-18,2019-02-22,Itaqui,2.047955
2019-02-18,2019-02-22,Suape,2.049952
2019-02-18,2019-02-22,Aratu,2.063185
2019-02-18,2019-02-22,Santos,2.097398
2019-02-18,2019-02-22,Paranagua,2.078710
2019-02-25,2019-03-01,Itaqui,2.050548
2019-02-25,2019-03-01,Suape,2.053478
2019-02-25,2019-03-01,Aratu,2.065766
2019-02-25,2019-03-01,Santos,2.098406
2019-02-25,2019-03-01,Paranagua,2.079326
2019-03-04,2019-03-08,Itaqui,2.081228
2019-03-04,2019-03-08,Suape,2.085672
2019-03-04,2019-03-08,Aratu,2.096394
2019-03-04,2019-03-08,Santos,2.126416
2019-03-04,2019-03-08,Paranagua,2.106802
2019-03-11,2019-03-15,Itaqui,2.057962
2019-03-11,2019-03-15,Suape,2.063016
2019-03-11,2019-03-15,Aratu,2.073092
2019-03-11,2019-03-15,Santos,2.102020
2019-03-11,2019-03-15,Paranagua,2.082248
2019-03-18,2019-03-22,Itaqui,2.070446
2019-03-18,2019-03-22,Suape,2.073480
2019-03-18,2019-03-22,Aratu,2.085650
2019-03-18,2019-03-22,Santos,2.118090
2019-03-18,2019-03-22,Paranagua,2.099008
2019-03-25,2019-03-29,Itaqui,2.122366
2019-03-25,2019-03-29,Suape,2.124728
2019-03-25,2019-03-29,Aratu,2.137594
2019-03-25,2019-03-29,Santos,2.171202
2019-03-25,2019-03-29,Paranagua,2.152344
2019-04-01,2019-04-05,Itaqui,2.117398
2019-04-01,2019-04-05,Suape,2.119816
2019-04-01,2019-04-05,Aratu,2.132618
2019-04-01,2019-04-05,Santos,2.166100
2019-04-01,2019-04-05,Paranagua,2.147260
2019-04-08,2019-04-12,Itaqui,2.159338
2019-04-08,2019-04-12,Suape,2.162688
2019-04-08,2019-04-12,Aratu,2.174548
2019-04-08,2019-04-12,Santos,2.206476
2019-04-08,2019-04-12,Paranagua,2.187232
