semana_inicio,semana_fim,terminal,preco
2018-11-05,2018-11-09,Itaqui,1.602604
2018-11-05,2018-11-09,Suape,1.616238
2018-11-05,2018-11-09,Aratu,1.617774
2018-11-05,2018-11-09,Santos,1.653378
2018-11-05,2018-11-09,Paranagua,1.630454
2018-11-12,2018-11-16,Itaqui,1.524086
2018-11-12,2018-11-16,Suape,1.537714
2018-11-12,2018-11-16,Aratu,1.539262
2018-11-12,2018-11-16,Santos,1.574876
2018-11-12,2018-11-16,Paranagua,1.551936
2018-11-19,2018-11-23,Itaqui,1.482270
2018-11-19,2018-11-23,Suape,1.495897
2018-11-19,2018-11-23,Aratu,1.497443
2018-11-19,2018-11-23,Santos,1.536817
2018-11-19,2018-11-23,Paranagua,1.514050
2018-11-26,2018-11-30,Itaqui,1.402530
2018-11-26,2018-11-30,Suape,1.416134
2018-11-26,2018-11-30,Aratu,1.417722
2018-11-26,2018-11-30,Santos,1.458436
2018-11-26,2018-11-30,Paranagua,1.435668
2018-12-03,2018-12-07,Itaqui,1.413200
2018-12-03,2018-12-07,Suape,1.426800
2018-12-03,2018-12-07,Aratu,1.428400
2018-12-03,2018-12-07,Santos,1.475400
2018-12-03,2018-12-07,Paranagua,1.452900
2018-12-10,2018-12-14,Itaqui,1.426300
2018-12-10,2018-12-14,Suape,1.440000
2018-12-10,2018-12-14,Aratu,1.441500
2018-12-10,2018-12-14,Santos,1.489200
2018-12-10,2018-12-14,Paranagua,1.466700
2018-12-17,2018-12-21,Itaqui,1.354148
2018-12-17,2018-12-21,Suape,1.367754
2018-12-17,2018-12-21,Aratu,1.369344
2018-12-17,2018-12-21,Santos,1.409370
2018-12-17,2018-12-21,Paranagua,1.386564
2018-12-24,2018-12-28,Itaqui,1.272853
2018-12-24,2018-12-28,Suape,1.295700
2018-12-24,2018-12-28,Aratu,1.303328
2018-12-24,2018-12-28,Santos,1.323986
2018-12-24,2018-12-28,Paranagua,1.304272
2018-12-31,2019-01-04,Itaqui,1.262107
2018-12-31,2019-01-04,Suape,1.275827
2018-12-31,2019-01-04,Aratu,1.277187
2018-12-31,2019-01-04,Santos,1.311913
2018-12-31,2019-01-04,Paranagua,1.289253
2019-01-07,2019-01-11,Itaqui,1.291026
2019-01-07,2019-01-11,Suape,1.304758
2019-01-07,2019-01-11,Aratu,1.306098
2019-01-07,2019-01-11,Santos,1.339580
2019-01-07,2019-01-11,Paranagua,1.316866
2019-01-14,2019-01-18,Itaqui,1.344538
2019-01-14,2019-01-18,Suape,1.358272
2019-01-14,2019-01-18,Aratu,1.359602
2019-01-14,2019-01-18,Santos,1.390746
2019-01-14,2019-01-18,Paranagua,1.367942
2019-01-21,2019-01-25,Itaqui,1.373507
2019-01-21,2019-01-25,Suape,1.387242
2019-01-21,2019-01-25,Aratu,1.388572
2019-01-21,2019-01-25,Santos,1.418995
2019-01-21,2019-01-25,Paranagua,1.396152
2019-01-28,2019-02-01,Itaqui,1.301086
2019-01-28,2019-02-01,Suape,1.314842
2019-01-28,2019-02-01,Aratu,1.316134
2019-01-28,2019-02-01,Santos,1.346254
2019-01-28,2019-02-01,Paranagua,1.323462
2019-02-04,2019-02-08,Itaqui,1.351458
2019-02-04,2019-02-08,Suape,1.365224
2019-02-04,2019-02-08,Aratu,1.366490
2019-02-04,2019-02-08,Santos,1.394932
2019-02-04,2019-02-08,Paranagua,1.372094
2019-02-11,2019-02-15,Itaqui,1.392326
2019-02-11,2019-02-15,Suape,1.406056
2019-02-11,2019-02-15,Aratu,1.407394
2019-02-11,2019-02-15,Santos,1.441172
2019-02-11,2019-02-15,Paranagua,1.418480
2019-02-18,2019-02-22,Itaqui,1.541132
2019-02-18,2019-02-22,Suape,1.554818
2019-02-18,2019-02-22,Aratu,1.556242
2019-02-18,2019-02-22,Santos,1.590502
2019-02-18,2019-02-22,Paranagua,1.567692
2019-02-25,2019-03-01,Itaqui,1.536960
2019-02-25,2019-03-01,Suape,1.550660
2019-02-25,2019-03-01,Aratu,1.552060
2019-02-25,2019-03-01,Santos,1.584712
2019-02-25,2019-03-01,Paranagua,1.561866
2019-03-04,2019-03-08,Itaqui,1.608956
2019-03-04,2019-03-08,Suape,1.622698
2019-03-04,2019-03-08,Aratu,1.624012
2019-03-04,2019-03-08,Santos,1.654012
2019-03-04,2019-03-08,Paranagua,1.631174
2019-03-11,2019-03-15,Itaqui,1.658822
2019-03-11,2019-03-15,Suape,1.672598
2019-03-11,2019-03-15,Aratu,1.673848
2019-03-11,2019-03-15,Santos,1.702746
2019-03-11,2019-03-15,Paranagua,1.679960
2019-03-18,2019-03-22,Itaqui,1.693040
2019-03-18,2019-03-22,Suape,1.706752
2019-03-18,2019-03-22,Aratu,1.708126
2019-03-18,2019-03-22,Santos,1.740588
2019-03-18,2019-03-22,Paranagua,1.717766
2019-03-25,2019-03-29,Itaqui,1.735908
2019-03-25,2019-03-29,Suape,1.749600
2019-03-25,2019-03-29,Aratu,1.751020
2019-03-25,2019-03-29,Santos,1.784656
2019-03-25,2019-03-29,Paranagua,1.761822
2019-04-01,2019-04-05,Itaqui,1.747316
2019-04-01,2019-04-05,Suape,1.761016
2019-04-01,2019-04-05,Aratu,1.762414
2019-04-01,2019-04-05,Santos,1.795936
2019-04-01,2019-04-05,Paranagua,1.773126
2019-04-08,2019-04-12,Itaqui,1.828156
2019-04-08,2019-04-12,Suape,1.841864
2019-04-08,2019-04-12,Aratu,1.843248
2019-04-08,2019-04-12,Santos,1.875176
2019-04-08,2019-04-12,Paranagua,1.852320
2019-04-15,2019-04-19,Itaqui,1.864397
2019-04-15,2019-04-19,Suape,1.878090
2019-04-15,2019-04-19,Aratu,1.879502
2019-04-15,2019-04-19,Santos,1.909822
