semana_inicio,semana_fim,terminal,preco
2018-11-05,2018-11-09,Suape,24.008156
2018-11-05,2018-11-09,Santos,24.480908
2018-11-12,2018-11-16,Suape,22.377560
2018-11-12,2018-11-16,Santos,22.838288
2018-11-17,2018-11-21,Suape,22.930861
2018-11-17,2018-11-21,Santos,23.410752
2018-11-26,2018-11-30,Suape,21.418197
2018-11-26,2018-11-30,Santos,21.872922
2018-12-03,2018-12-07,Suape,22.256000
2018-12-03,2018-12-07,Santos,22.672000
2018-12-10,2018-12-14,Suape,21.528000
2018-12-10,2018-12-14,Santos,21.944000
2018-12-17,2018-12-21,Suape,20.393200
2018-12-17,2018-12-21,Santos,20.845200
2018-12-24,2018-12-28,Suape,20.001235
2018-12-24,2018-12-28,Santos,20.464225
2018-12-31,2019-01-04,Suape,19.454422
2018-12-31,2019-01-04,Santos,19.857179
2019-01-07,2019-01-11,Suape,19.254310
2019-01-07,2019-01-11,Santos,19.636703
2019-01-14,2019-01-18,Suape,20.315480
2019-01-14,2019-01-18,Santos,20.704567
2019-01-21,2019-01-25,Suape,20.637500
2019-01-21,2019-01-25,Santos,20.995000
2019-01-28,2019-02-01,Suape,20.185980
2019-01-28,2019-02-01,Santos,20.508293
2019-02-04,2019-02-08,Suape,19.805682
2019-02-04,2019-02-08,Santos,20.154209
2019-02-11,2019-02-15,Suape,19.708000
2019-02-11,2019-02-15,Santos,20.020000
2019-02-18,2019-02-22,Suape,21.434004
2019-02-18,2019-02-22,Santos,21.800812
2019-02-25,2019-03-01,Suape,21.193895
2019-02-25,2019-03-01,Santos,21.565266
2019-03-04,2019-03-08,Suape,21.087799
2019-03-04,2019-03-08,Santos,21.466594
2019-03-11,2019-03-15,Suape,21.390840
2019-03-11,2019-03-15,Santos,21.763898
2019-03-18,2019-03-22,Suape,21.398000
2019-03-18,2019-03-22,Santos,21.866000
2019-03-25,2019-03-29,Suape,21.326196
2019-03-25,2019-03-29,Santos,21.842253
2019-04-01,2019-04-05,Suape,21.113813
2019-04-01,2019-04-05,Santos,21.646344
