produto,unidade,semana_inicio,semana_fim,terminal,preco
Gasolina A,R$/litro,2018-11-05,2018-11-09,Itaqui,1.602604
Gasolina A,R$/litro,2018-11-05,2018-11-09,Suape,1.616238
Gasolina A,R$/litro,2018-11-05,2018-11-09,Aratu,1.617774
Gasolina A,R$/litro,2018-11-05,2018-11-09,Santos,1.653378
Gasolina A,R$/litro,2018-11-05,2018-11-09,Paranagua,1.630454
Gasolina A,R$/litro,2018-11-12,2018-11-16,Itaqui,1.524086
Gasolina A,R$/litro,2018-11-12,2018-11-16,Suape,1.537714
Gasolina A,R$/litro,2018-11-12,2018-11-16,Aratu,1.539262
Gasolina A,R$/litro,2018-11-12,2018-11-16,Santos,1.574876
Gasolina A,R$/litro,2018-11-12,2018-11-16,Paranagua,1.551936
Gasolina A,R$/litro,2018-11-19,2018-11-23,Itaqui,1.482270
Gasolina A,R$/litro,2018-11-19,2018-11-23,Suape,1.495897
Gasolina A,R$/litro,2018-11-19,2018-11-23,Aratu,1.497443
Gasolina A,R$/litro,2018-11-19,2018-11-23,Santos,1.536817
Gasolina A,R$/litro,2018-11-19,2018-11-23,Paranagua,1.514050
Gasolina A,R$/litro,2018-11-26,2018-11-30,Itaqui,1.402530
Gasolina A,R$/litro,2018-11-26,2018-11-30,Suape,1.416134
Gasolina A,R$/litro,2018-11-26,2018-11-30,Aratu,1.417722
Gasolina A,R$/litro,2018-11-26,2018-11-30,Santos,1.458436
Gasolina A,R$/litro,2018-11-26,2018-11-30,Paranagua,1.435668
Gasolina A,R$/litro,2018-12-03,2018-12-07,Itaqui,1.413200
Gasolina A,R$/litro,2018-12-03,2018-12-07,Suape,1.426800
Gasolina A,R$/litro,2018-12-03,2018-12-07,Aratu,1.428400
Gasolina A,R$/litro,2018-12-03,2018-12-07,Santos,1.475400
Gasolina A,R$/litro,2018-12-03,2018-12-07,Paranagua,1.452900
Gasolina A,R$/litro,2018-12-10,2018-12-14,Itaqui,1.426300
Gasolina A,R$/litro,2018-12-10,2018-12-14,Suape,1.440000
Gasolina A,R$/litro,2018-12-10,2018-12-14,Aratu,1.441500
Gasolina A,R$/litro,2018-12-10,2018-12-14,Santos,1.489200
Gasolina A,R$/litro,2018-12-10,2018-12-14,Paranagua,1.466700
Gasolina A,R$/litro,2018-12-17,2018-12-21,Itaqui,1.354148
Gasolina A,R$/litro,2018-12-17,2018-12-21,Suape,1.367754
Gasolina A,R$/litro,2018-12-17,2018-12-21,Aratu,1.369344
Gasolina A,R$/litro,2018-12-17,2018-12-21,Santos,1.409370
Gasolina A,R$/litro,2018-12-17,2018-12-21,Paranagua,1.386564
Gasolina A,R$/litro,2018-12-24,2018-12-28,Itaqui,1.272853
Gasolina A,R$/litro,2018-12-24,2018-12-28,Suape,1.295700
Gasolina A,R$/litro,2018-12-24,2018-12-28,Aratu,1.303328
Gasolina A,R$/litro,2018-12-24,2018-12-28,Santos,1.323986
Gasolina A,R$/litro,2018-12-24,2018-12-28,Paranagua,1.304272
Gasolina A,R$/litro,2018-12-31,2019-01-04,Itaqui,1.262107
Gasolina A,R$/litro,2018-12-31,2019-01-04,Suape,1.275827
Gasolina A,R$/litro,2018-12-31,2019-01-04,Aratu,1.277187
Gasolina A,R$/litro,2018-12-31,2019-01-04,Santos,1.311913
Gasolina A,R$/litro,2018-12-31,2019-01-04,Paranagua,1.289253
Gasolina A,R$/litro,2019-01-07,2019-01-11,Itaqui,1.291026
Gasolina A,R$/litro,2019-01-07,2019-01-11,Suape,1.304758
Gasolina A,R$/litro,2019-01-07,2019-01-11,Aratu,1.306098
Gasolina A,R$/litro,2019-01-07,2019-01-11,Santos,1.339580
Gasolina A,R$/litro,2019-01-07,2019-01-11,Paranagua,1.316866
Gasolina A,R$/litro,2019-01-14,2019-01-18,Itaqui,1.344538
Gasolina A,R$/litro,2019-01-14,2019-01-18,Suape,1.358272
Gasolina A,R$/litro,2019-01-14,2019-01-18,Aratu,1.359602
Gasolina A,R$/litro,2019-01-14,2019-01-18,Santos,1.390746
Gasolina A,R$/litro,2019-01-14,2019-01-18,Paranagua,1.367942
Gasolina A,R$/litro,2019-01-21,2019-01-25,Itaqui,1.373507
Gasolina A,R$/litro,2019-01-21,2019-01-25,Suape,1.387242
Gasolina A,R$/litro,2019-01-21,2019-01-25,Aratu,1.388572
Gasolina A,R$/litro,2019-01-21,2019-01-25,Santos,1.418995
Gasolina A,R$/litro,2019-01-21,2019-01-25,Paranagua,1.396152
Gasolina A,R$/litro,2019-01-28,2019-02-01,Itaqui,1.301086
Gasolina A,R$/litro,2019-01-28,2019-02-01,Suape,1.314842
Gasolina A,R$/litro,2019-01-28,2019-02-01,Aratu,1.316134
Gasolina A,R$/litro,2019-01-28,2019-02-01,Santos,1.346254
Gasolina A,R$/litro,2019-01-28,2019-02-01,Paranagua,1.323462
Gasolina A,R$/litro,2019-02-04,2019-02-08,Itaqui,1.351458
Gasolina A,R$/litro,2019-02-04,2019-02-08,Suape,1.365224
Gasolina A,R$/litro,2019-02-04,2019-02-08,Aratu,1.366490
Gasolina A,R$/litro,2019-02-04,2019-02-08,Santos,1.394932
Gasolina A,R$/litro,2019-02-04,2019-02-08,Paranagua,1.372094
Gasolina A,R$/litro,2019-02-11,2019-02-15,Itaqui,1.392326
Gasolina A,R$/litro,2019-02-11,2019-02-15,Suape,1.406056
Gasolina A,R$/litro,2019-02-11,2019-02-15,Aratu,1.407394
Gasolina A,R$/litro,2019-02-11,2019-02-15,Santos,1.441172
Gasolina A,R$/litro,2019-02-11,2019-02-15,Paranagua,1.418480
Gasolina A,R$/litro,2019-02-18,2019-02-22,Itaqui,1.541132
Gasolina A,R$/litro,2019-02-18,2019-02-22,Suape,1.554818
Gasolina A,R$/litro,2019-02-18,2019-02-22,Aratu,1.556242
Gasolina A,R$/litro,2019-02-18,2019-02-22,Santos,1.590502
Gasolina A,R$/litro,2019-02-18,2019-02-22,Paranagua,1.567692
Gasolina A,R$/litro,2019-02-25,2019-03-01,Itaqui,1.536960
Gasolina A,R$/litro,2019-02-25,2019-03-01,Suape,1.550660
Gasolina A,R$/litro,2019-02-25,2019-03-01,Aratu,1.552060
Gasolina A,R$/litro,2019-02-25,2019-03-01,Santos,1.584712
Gasolina A,R$/litro,2019-02-25,2019-03-01,Paranagua,1.561866
Gasolina A,R$/litro,2019-03-04,2019-03-08,Itaqui,1.608956
Gasolina A,R$/litro,2019-03-04,2019-03-08,Suape,1.622698
Gasolina A,R$/litro,2019-03-04,2019-03-08,Aratu,1.624012
Gasolina A,R$/litro,2019-03-04,2019-03-08,Santos,1.654012
Gasolina A,R$/litro,2019-03-04,2019-03-08,Paranagua,1.631174
Gasolina A,R$/litro,2019-03-11,2019-03-15,Itaqui,1.658822
Gasolina A,R$/litro,2019-03-11,2019-03-15,Suape,1.672598
Gasolina A,R$/litro,2019-03-11,2019-03-15,Aratu,1.673848
Gasolina A,R$/litro,2019-03-11,2019-03-15,Santos,1.702746
