semana_inicio,semana_fim,terminal,preco
2018-11-05,2018-11-09,Itaqui,2.252130
2018-11-05,2018-11-09,Suape,2.254120
2018-11-05,2018-11-09,Aratu,2.267382
2018-11-05,2018-11-09,Santos,2.301644
2018-11-05,2018-11-09,Paranagua,2.282904
2018-11-12,2018-11-16,Itaqui,2.162930
2018-11-12,2018-11-16,Suape,2.164918
2018-11-12,2018-11-16,Aratu,2.178186
2018-11-12,2018-11-16,Santos,2.212466
2018-11-12,2018-11-16,Paranagua,2.193704
2018-11-17,2018-11-21,Itaqui,2.115997
2018-11-17,2018-11-21,Suape,2.115893
2018-11-17,2018-11-21,Aratu,2.131250
2018-11-17,2018-11-21,Santos,2.168990
2018-11-17,2018-11-21,Paranagua,2.151207
2018-11-26,2018-11-30,Itaqui,2.015810
2018-11-26,2018-11-30,Suape,2.014978
2018-11-26,2018-11-30,Aratu,2.031088
2018-11-26,2018-11-30,Santos,2.070072
2018-11-26,2018-11-30,Paranagua,2.052548
2018-12-03,2018-12-07,Itaqui,2.039100
2018-12-03,2018-12-07,Suape,2.034700
2018-12-03,2018-12-07,Aratu,2.054400
2018-12-03,2018-12-07,Santos,2.099200
2018-12-03,2018-12-07,Paranagua,2.083300
2018-12-10,2018-12-14,Itaqui,2.030600
2018-12-10,2018-12-14,Suape,2.025900
2018-12-10,2018-12-14,Aratu,2.045800
2018-12-10,2018-12-14,Santos,2.091200
2018-12-10,2018-12-14,Paranagua,2.075500
2018-12-17,2018-12-21,Itaqui,1.927814
2018-12-17,2018-12-21,Suape,1.927370
2018-12-17,2018-12-21,Aratu,1.943096
2018-12-17,2018-12-21,Santos,1.981448
2018-12-17,2018-12-21,Paranagua,1.963738
2018-12-24,2018-12-28,Itaqui,1.780834
2018-12-24,2018-12-28,Suape,1.803190
2018-12-24,2018-12-28,Aratu,1.810408
2018-12-24,2018-12-28,Santos,1.830573
2018-12-24,2018-12-28,Paranagua,1.810695
2018-12-31,2019-01-04,Itaqui,1.777243
2018-12-31,2019-01-04,Suape,1.780033
2018-12-31,2019-01-04,Aratu,1.792393
2018-12-31,2019-01-04,Santos,1.826813
2018-12-31,2019-01-04,Paranagua,1.808353
2019-01-07,2019-01-11,Itaqui,1.876954
2019-01-07,2019-01-11,Suape,1.880012
2019-01-07,2019-01-11,Aratu,1.892092
2019-01-07,2019-01-11,Santos,1.924336
2019-01-07,2019-01-11,Paranagua,1.905466
2019-01-14,2019-01-18,Itaqui,1.934330
2019-01-14,2019-01-18,Suape,1.938686
2019-01-14,2019-01-18,Aratu,1.949464
2019-01-14,2019-01-18,Santos,1.979552
2019-01-14,2019-01-18,Paranagua,1.960098
2019-01-21,2019-01-25,Itaqui,1.976560
2019-01-21,2019-01-25,Suape,1.981320
2019-01-21,2019-01-25,Aratu,1.991692
2019-01-21,2019-01-25,Santos,2.021120
2019-01-21,2019-01-25,Paranagua,2.001468
2019-01-28,2019-02-01,Itaqui,1.939692
2019-01-28,2019-02-01,Suape,1.944596
2019-01-28,2019-02-01,Aratu,1.954802
2019-01-28,2019-02-01,Santos,1.983934
2019-01-28,2019-02-01,Paranagua,1.964296
2019-02-04,2019-02-08,Itaqui,1.952518
2019-02-04,2019-02-08,Suape,1.958354
2019-02-04,2019-02-08,Aratu,1.967620
2019-02-04,2019-02-08,Santos,1.995192
2019-02-04,2019-02-08,Paranagua,1.975168
2019-02-11,2019-02-15,Itaqui,2.000746
2019-02-11,2019-02-15,Suape,2.003638
2019-02-11,2019-02-15,Aratu,2.015884
2019-02-11,2019-02-15,Santos,2.048400
2019-02-11,2019-02-15,Paranagua,2.029612
2019-02-18,2019-02-22,Itaqui,2.082602
2019-02-18,2019-02-22,Suape,2.085275
2019-02-18,2019-02-22,Aratu,2.097787
2019-02-18,2019-02-22,Santos,2.130775
2019-02-18,2019-02-22,Paranagua,2.111928
2019-02-25,2019-03-01,Itaqui,2.066936
2019-02-25,2019-03-01,Suape,2.070494
2019-02-25,2019-03-01,Aratu,2.082110
2019-02-25,2019-03-01,Santos,2.113614
2019-02-25,2019-03-01,Paranagua,2.094396
2019-03-04,2019-03-08,Itaqui,2.082384
2019-03-04,2019-03-08,Suape,2.087376
2019-03-04,2019-03-08,Aratu,2.097512
2019-03-04,2019-03-08,Santos,2.126540
2019-03-04,2019-03-08,Paranagua,2.106816
2019-03-11,2019-03-15,Itaqui,2.061468
2019-03-11,2019-03-15,Suape,2.067036
2019-03-11,2019-03-15,Aratu,2.076562
2019-03-11,2019-03-15,Santos,2.104556
2019-03-11,2019-03-15,Paranagua,2.084684
2019-03-18,2019-03-22,Itaqui,2.077026
2019-03-18,2019-03-22,Suape,2.080680
2019-03-18,2019-03-22,Aratu,2.092188
2019-03-18,2019-03-22,Santos,2.123502
2019-03-18,2019-03-22,Paranagua,2.104286
2019-03-25,2019-03-29,Itaqui,2.127794
2019-03-25,2019-03-29,Suape,2.130814
2019-03-25,2019-03-29,Aratu,2.142982
2019-03-25,2019-03-29,Santos,2.175396
2019-03-25,2019-03-29,Paranagua,2.156388
2019-04-01,2019-04-05,Itaqui,2.124816
2019-04-01,2019-04-05,Suape,2.127888
2019-04-01,2019-04-05,Aratu,2.139986
2019-04-01,2019-04-05,Santos,2.172290
2019-04-01,2019-04-05,Paranagua,2.153296
2019-04-08,2019-04-12,Itaqui,2.161970
2019-04-08,2019-04-12,Suape,2.165922
2019-04-08,2019-04-12,Aratu,2.177134
2019-04-08,2019-04-12,Santos,2.207962
2019-04-08,2019-04-12,Paranagua,2.188590
2019-04-14,2019-04-18,Itaqui,2.198140
2019-04-14,2019-04-18,Suape,2.203008
2019-04-14,2019-04-18,Aratu,2.213320
2019-04-14,2019-04-18,Santos,2.242682
2019-04-14,2019-04-18,Paranagua,2.222830
2019-04-22,2019-04-26,Itaqui,2.264333
2019-04-22,2019-04-26,Suape,2.269230
2019-04-22,2019-04-26,Aratu,2.279500
2019-04-22,2019-04-26,Santos,2.308780
2019-04-22,2019-04-26,Paranagua,2.288950
2019-04-29,2019-05-03,Itaqui,2.223530
2019-04-29,2019-05-03,Suape,2.228650
2019-04-29,2019-05-03,Aratu,2.238675
2019-04-29,2019-05-03,Santos,2.267523
